Data Format:
GPS ON/OFF | Current Time (Seconds) | Screen On/Off | Trial # | Power Statistics for current time | TimeStamp
On | 5s | Off | #1 | 49.00W, 1.80A, 5.74V | 2019-11-01 13:41:51.444605
On | 6s | Off | #1 | 50.00W, 3.40A, 10.84V | 2019-11-01 13:41:51.456603
On | 7s | Off | #1 | 51.00W, 1.70A, 5.42V | 2019-11-01 13:41:51.464599
On | 8s | Off | #1 | 52.00W, 3.30A, 10.52V | 2019-11-01 13:41:51.476597
On | 9s | Off | #1 | 53.00W, 1.65A, 5.26V | 2019-11-01 13:41:51.484595
On | 10s | Off | #1 | 54.00W, 3.25A, 10.36V | 2019-11-01 13:41:51.496592
On | 11s | Off | #1 | 55.00W, 1.63A, 5.18V | 2019-11-01 13:41:51.508588
On | 12s | Off | #1 | 56.00W, 3.23A, 10.28V | 2019-11-01 13:41:51.516587
On | 13s | Off | #1 | 57.00W, 1.61A, 5.14V | 2019-11-01 13:41:51.528603
On | 14s | Off | #1 | 58.00W, 3.21A, 10.24V | 2019-11-01 13:41:51.536599
On | 15s | Off | #1 | 59.00W, 1.61A, 5.12V | 2019-11-01 13:41:51.552580
On | 16s | Off | #1 | 60.00W, 3.21A, 10.22V | 2019-11-01 13:41:51.564579
On | 17s | Off | #1 | 61.00W, 1.60A, 5.11V | 2019-11-01 13:41:51.576589
On | 18s | Off | #1 | 62.00W, 3.20A, 10.21V | 2019-11-01 13:41:51.588573
On | 19s | Off | #1 | 63.00W, 1.60A, 5.10V | 2019-11-01 13:41:51.600568
On | 20s | Off | #1 | 64.00W, 3.20A, 10.20V | 2019-11-01 13:41:51.612581
On | 0s | Off | #2 | 65.00W, 4.80A, 15.30V | 2019-11-01 13:41:51.624563
On | 1s | Off | #2 | 66.00W, 2.40A, 7.65V | 2019-11-01 13:41:51.632569
On | 2s | Off | #2 | 67.00W, 4.00A, 12.75V | 2019-11-01 13:41:51.644554
On | 3s | Off | #2 | 68.00W, 2.00A, 6.38V | 2019-11-01 13:41:51.652552
On | 4s | Off | #2 | 69.00W, 3.60A, 11.48V | 2019-11-01 13:41:51.668548
On | 5s | Off | #2 | 70.00W, 1.80A, 5.74V | 2019-11-01 13:41:51.680546
On | 6s | Off | #2 | 71.00W, 3.40A, 10.84V | 2019-11-01 13:41:51.696541
On | 7s | Off | #2 | 72.00W, 1.70A, 5.42V | 2019-11-01 13:41:51.712541
On | 8s | Off | #2 | 73.00W, 3.30A, 10.52V | 2019-11-01 13:41:51.724534
On | 9s | Off | #2 | 74.00W, 1.65A, 5.26V | 2019-11-01 13:41:51.732536
On | 10s | Off | #2 | 75.00W, 3.25A, 10.36V | 2019-11-01 13:41:51.744548
On | 11s | Off | #2 | 76.00W, 1.63A, 5.18V | 2019-11-01 13:41:51.756526
On | 12s | Off | #2 | 77.00W, 3.23A, 10.28V | 2019-11-01 13:41:51.772541
On | 13s | Off | #2 | 78.00W, 1.61A, 5.14V | 2019-11-01 13:41:51.780520
On | 14s | Off | #2 | 79.00W, 3.21A, 10.24V | 2019-11-01 13:41:51.792536
On | 15s | Off | #2 | 80.00W, 1.61A, 5.12V | 2019-11-01 13:41:51.800514
On | 16s | Off | #2 | 81.00W, 3.21A, 10.22V | 2019-11-01 13:41:51.816515
On | 17s | Off | #2 | 82.00W, 1.60A, 5.11V | 2019-11-01 13:41:51.824508
On | 18s | Off | #2 | 83.00W, 3.20A, 10.21V | 2019-11-01 13:41:51.840508
On | 19s | Off | #2 | 84.00W, 1.60A, 5.10V | 2019-11-01 13:41:51.848506
On | 20s | Off | #2 | 85.00W, 3.20A, 10.20V | 2019-11-01 13:41:51.860518
On | 0s | On | #1 | 86.00W, 4.80A, 15.30V | 2019-11-01 13:41:51.868497
On | 1s | On | #1 | 87.00W, 2.40A, 7.65V | 2019-11-01 13:41:51.880494
On | 2s | On | #1 | 88.00W, 4.00A, 12.75V | 2019-11-01 13:41:51.892493
On | 3s | On | #1 | 89.00W, 2.00A, 6.38V | 2019-11-01 13:41:51.904508
On | 4s | On | #1 | 90.00W, 3.60A, 11.48V | 2019-11-01 13:41:51.916486
On | 5s | On | #1 | 91.00W, 1.80A, 5.74V | 2019-11-01 13:41:51.944482
On | 6s | On | #1 | 92.00W, 3.40A, 10.84V | 2019-11-01 13:41:51.964475
On | 7s | On | #1 | 93.00W, 1.70A, 5.42V | 2019-11-01 13:41:51.992467
On | 8s | On | #1 | 94.00W, 3.30A, 10.52V | 2019-11-01 13:41:52.008464
On | 9s | On | #1 | 95.00W, 1.65A, 5.26V | 2019-11-01 13:41:52.032463
On | 10s | On | #1 | 96.00W, 3.25A, 10.36V | 2019-11-01 13:41:52.048477
On | 11s | On | #1 | 97.00W, 1.63A, 5.18V | 2019-11-01 13:41:52.076446
On | 12s | On | #1 | 98.00W, 3.23A, 10.28V | 2019-11-01 13:41:52.092443
On | 13s | On | #1 | 99.00W, 1.61A, 5.14V | 2019-11-01 13:41:52.116437
On | 14s | On | #1 | 100.00W, 3.21A, 10.24V | 2019-11-01 13:41:52.132433
On | 15s | On | #1 | 101.00W, 1.61A, 5.12V | 2019-11-01 13:41:52.152427
On | 16s | On | #1 | 102.00W, 3.21A, 10.22V | 2019-11-01 13:41:52.176420
On | 17s | On | #1 | 103.00W, 1.60A, 5.11V | 2019-11-01 13:41:52.196422
On | 18s | On | #1 | 104.00W, 3.20A, 10.21V | 2019-11-01 13:41:52.216411
On | 19s | On | #1 | 105.00W, 1.60A, 5.10V | 2019-11-01 13:41:52.240405
On | 20s | On | #1 | 106.00W, 3.20A, 10.20V | 2019-11-01 13:41:52.256401
On | 21s | On | #1 | 107.00W, 1.60A, 5.10V | 2019-11-01 13:41:52.280394
On | 22s | On | #1 | 108.00W, 3.20A, 10.20V | 2019-11-01 13:41:52.308388
On | 23s | On | #1 | 109.00W, 1.60A, 5.10V | 2019-11-01 13:41:52.340379
On | 24s | On | #1 | 110.00W, 3.20A, 10.20V | 2019-11-01 13:41:52.356380
On | 25s | On | #1 | 111.00W, 1.60A, 5.10V | 2019-11-01 13:41:52.388369
On | 26s | On | #1 | 112.00W, 3.20A, 10.20V | 2019-11-01 13:41:52.412367
On | 27s | On | #1 | 113.00W, 1.60A, 5.10V | 2019-11-01 13:41:52.440354
On | 28s | On | #1 | 114.00W, 3.20A, 10.20V | 2019-11-01 13:41:52.460356
On | 29s | On | #1 | 115.00W, 1.60A, 5.10V | 2019-11-01 13:41:52.492342
On | 30s | On | #1 | 116.00W, 3.20A, 10.20V | 2019-11-01 13:41:52.512337
On | 31s | On | #1 | 117.00W, 1.60A, 5.10V | 2019-11-01 13:41:52.536333
On | 32s | On | #1 | 118.00W, 3.20A, 10.20V | 2019-11-01 13:41:52.556327
On | 33s | On | #1 | 119.00W, 1.60A, 5.10V | 2019-11-01 13:41:52.588317
On | 34s | On | #1 | 120.00W, 3.20A, 10.20V | 2019-11-01 13:41:52.604312
On | 35s | On | #1 | 121.00W, 1.60A, 5.10V | 2019-11-01 13:41:52.636306
On | 36s | On | #1 | 122.00W, 3.20A, 10.20V | 2019-11-01 13:41:52.664298
On | 37s | On | #1 | 123.00W, 1.60A, 5.10V | 2019-11-01 13:41:52.700292
On | 38s | On | #1 | 124.00W, 3.20A, 10.20V | 2019-11-01 13:41:52.724284
On | 39s | On | #1 | 125.00W, 1.60A, 5.10V | 2019-11-01 13:41:52.748277
On | 40s | On | #1 | 126.00W, 3.20A, 10.20V | 2019-11-01 13:41:52.776270
On | 0s | On | #2 | 127.00W, 4.80A, 15.30V | 2019-11-01 13:41:52.796267
On | 1s | On | #2 | 128.00W, 2.40A, 7.65V | 2019-11-01 13:41:52.812263
On | 2s | On | #2 | 129.00W, 4.00A, 12.75V | 2019-11-01 13:41:52.836254
On | 3s | On | #2 | 130.00W, 2.00A, 6.38V | 2019-11-01 13:41:52.852252
On | 4s | On | #2 | 131.00W, 3.60A, 11.48V | 2019-11-01 13:41:52.876244
On | 5s | On | #2 | 132.00W, 1.80A, 5.74V | 2019-11-01 13:41:52.912236
On | 6s | On | #2 | 133.00W, 3.40A, 10.84V | 2019-11-01 13:41:52.936231
On | 7s | On | #2 | 134.00W, 1.70A, 5.42V | 2019-11-01 13:41:52.952226
On | 8s | On | #2 | 135.00W, 3.30A, 10.52V | 2019-11-01 13:41:53.012211
On | 9s | On | #2 | 136.00W, 1.65A, 5.26V | 2019-11-01 13:41:53.060198
On | 10s | On | #2 | 137.00W, 3.25A, 10.36V | 2019-11-01 13:41:53.152175
On | 11s | On | #2 | 138.00W, 1.63A, 5.18V | 2019-11-01 13:41:53.186121
On | 12s | On | #2 | 139.00W, 3.23A, 10.28V | 2019-11-01 13:41:53.222060
On | 13s | On | #2 | 140.00W, 1.61A, 5.14V | 2019-11-01 13:41:53.247122
On | 14s | On | #2 | 141.00W, 3.21A, 10.24V | 2019-11-01 13:41:53.282800
On | 15s | On | #2 | 142.00W, 1.61A, 5.12V | 2019-11-01 13:41:53.310790
On | 16s | On | #2 | 143.00W, 3.21A, 10.22V | 2019-11-01 13:41:53.350781
On | 17s | On | #2 | 144.00W, 1.60A, 5.11V | 2019-11-01 13:41:53.370784
On | 18s | On | #2 | 145.00W, 3.20A, 10.21V | 2019-11-01 13:41:53.414766
On | 19s | On | #2 | 146.00W, 1.60A, 5.10V | 2019-11-01 13:41:53.438759
On | 20s | On | #2 | 147.00W, 3.20A, 10.20V | 2019-11-01 13:41:53.466752
On | 21s | On | #2 | 148.00W, 1.60A, 5.10V | 2019-11-01 13:41:53.482749
On | 22s | On | #2 | 149.00W, 3.20A, 10.20V | 2019-11-01 13:41:53.510742
On | 23s | On | #2 | 150.00W, 1.60A, 5.10V | 2019-11-01 13:41:53.526736
On | 24s | On | #2 | 151.00W, 3.20A, 10.20V | 2019-11-01 13:41:53.550734
On | 25s | On | #2 | 152.00W, 1.60A, 5.10V | 2019-11-01 13:41:53.566727
On | 26s | On | #2 | 153.00W, 3.20A, 10.20V | 2019-11-01 13:41:53.586721
On | 27s | On | #2 | 154.00W, 1.60A, 5.10V | 2019-11-01 13:41:53.606717
On | 28s | On | #2 | 155.00W, 3.20A, 10.20V | 2019-11-01 13:41:53.622712
On | 29s | On | #2 | 156.00W, 1.60A, 5.10V | 2019-11-01 13:41:53.642706
On | 30s | On | #2 | 157.00W, 3.20A, 10.20V | 2019-11-01 13:41:53.662703
On | 31s | On | #2 | 158.00W, 1.60A, 5.10V | 2019-11-01 13:41:53.682698
On | 32s | On | #2 | 159.00W, 3.20A, 10.20V | 2019-11-01 13:41:53.702692
On | 33s | On | #2 | 160.00W, 1.60A, 5.10V | 2019-11-01 13:41:53.718689
On | 34s | On | #2 | 161.00W, 3.20A, 10.20V | 2019-11-01 13:41:53.738684
On | 35s | On | #2 | 162.00W, 1.60A, 5.10V | 2019-11-01 13:41:53.754679
On | 36s | On | #2 | 163.00W, 3.20A, 10.20V | 2019-11-01 13:41:53.778673
On | 37s | On | #2 | 164.00W, 1.60A, 5.10V | 2019-11-01 13:41:53.794671
On | 38s | On | #2 | 165.00W, 3.20A, 10.20V | 2019-11-01 13:41:53.826662
On | 39s | On | #2 | 166.00W, 1.60A, 5.10V | 2019-11-01 13:41:53.842656
On | 40s | On | #2 | 167.00W, 3.20A, 10.20V | 2019-11-01 13:41:53.870651
On | 0s | Off | #1 | 168.00W, 4.80A, 15.30V | 2019-11-01 13:41:53.886646
On | 1s | Off | #1 | 169.00W, 2.40A, 7.65V | 2019-11-01 13:41:53.914639
On | 2s | Off | #1 | 170.00W, 4.00A, 12.75V | 2019-11-01 13:41:53.934637
On | 3s | Off | #1 | 171.00W, 2.00A, 6.38V | 2019-11-01 13:41:53.954628
On | 4s | Off | #1 | 172.00W, 3.60A, 11.48V | 2019-11-01 13:41:53.970625
On | 5s | Off | #1 | 173.00W, 1.80A, 5.74V | 2019-11-01 13:41:53.994618
On | 6s | Off | #1 | 174.00W, 3.40A, 10.84V | 2019-11-01 13:41:54.010615
On | 7s | Off | #1 | 175.00W, 1.70A, 5.42V | 2019-11-01 13:41:54.026610
On | 8s | Off | #1 | 176.00W, 3.30A, 10.52V | 2019-11-01 13:41:54.046610
On | 9s | Off | #1 | 177.00W, 1.65A, 5.26V | 2019-11-01 13:41:54.058601
On | 10s | Off | #1 | 178.00W, 3.25A, 10.36V | 2019-11-01 13:41:54.070598
On | 11s | Off | #1 | 179.00W, 1.63A, 5.18V | 2019-11-01 13:41:54.082595
On | 12s | Off | #1 | 180.00W, 3.23A, 10.28V | 2019-11-01 13:41:54.094595
On | 13s | Off | #1 | 181.00W, 1.61A, 5.14V | 2019-11-01 13:41:54.110588
On | 14s | Off | #1 | 182.00W, 3.21A, 10.24V | 2019-11-01 13:41:54.118590
On | 15s | Off | #1 | 183.00W, 1.61A, 5.12V | 2019-11-01 13:41:54.134587
On | 16s | Off | #1 | 184.00W, 3.21A, 10.22V | 2019-11-01 13:41:54.142586
On | 17s | Off | #1 | 185.00W, 1.60A, 5.11V | 2019-11-01 13:41:54.154577
On | 18s | Off | #1 | 186.00W, 3.20A, 10.21V | 2019-11-01 13:41:54.166577
On | 19s | Off | #1 | 187.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.182574
On | 20s | Off | #1 | 188.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.194569
On | 21s | Off | #1 | 189.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.210565
On | 22s | Off | #1 | 190.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.222565
On | 23s | Off | #1 | 191.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.238556
On | 24s | Off | #1 | 192.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.250557
On | 25s | Off | #1 | 193.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.278549
On | 26s | Off | #1 | 194.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.294545
On | 27s | Off | #1 | 195.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.314538
On | 28s | Off | #1 | 196.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.326535
On | 29s | Off | #1 | 197.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.346532
On | 30s | Off | #1 | 198.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.358529
On | 31s | Off | #1 | 199.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.370523
On | 32s | Off | #1 | 200.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.382522
On | 33s | Off | #1 | 201.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.398517
On | 34s | Off | #1 | 202.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.410515
On | 35s | Off | #1 | 203.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.426517
On | 36s | Off | #1 | 204.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.438507
On | 37s | Off | #1 | 205.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.454501
On | 38s | Off | #1 | 206.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.466499
On | 39s | Off | #1 | 207.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.482495
On | 40s | Off | #1 | 208.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.498491
On | 0s | Off | #2 | 209.00W, 4.80A, 15.30V | 2019-11-01 13:41:54.514486
On | 1s | Off | #2 | 210.00W, 2.40A, 7.65V | 2019-11-01 13:41:54.522485
On | 2s | Off | #2 | 211.00W, 4.00A, 12.75V | 2019-11-01 13:41:54.538485
On | 3s | Off | #2 | 212.00W, 2.00A, 6.38V | 2019-11-01 13:41:54.554482
On | 4s | Off | #2 | 213.00W, 3.60A, 11.48V | 2019-11-01 13:41:54.570476
On | 5s | Off | #2 | 214.00W, 1.80A, 5.74V | 2019-11-01 13:41:54.586470
On | 6s | Off | #2 | 215.00W, 3.40A, 10.84V | 2019-11-01 13:41:54.606467
On | 7s | Off | #2 | 216.00W, 1.70A, 5.42V | 2019-11-01 13:41:54.614462
On | 8s | Off | #2 | 217.00W, 3.30A, 10.52V | 2019-11-01 13:41:54.634459
On | 9s | Off | #2 | 218.00W, 1.65A, 5.26V | 2019-11-01 13:41:54.642457
On | 10s | Off | #2 | 219.00W, 3.25A, 10.36V | 2019-11-01 13:41:54.658453
On | 11s | Off | #2 | 220.00W, 1.63A, 5.18V | 2019-11-01 13:41:54.670449
On | 12s | Off | #2 | 221.00W, 3.23A, 10.28V | 2019-11-01 13:41:54.686444
On | 13s | Off | #2 | 222.00W, 1.61A, 5.14V | 2019-11-01 13:41:54.698440
On | 14s | Off | #2 | 223.00W, 3.21A, 10.24V | 2019-11-01 13:41:54.710446
On | 15s | Off | #2 | 224.00W, 1.61A, 5.12V | 2019-11-01 13:41:54.726435
On | 16s | Off | #2 | 225.00W, 3.21A, 10.22V | 2019-11-01 13:41:54.738431
On | 17s | Off | #2 | 226.00W, 1.60A, 5.11V | 2019-11-01 13:41:54.746432
On | 18s | Off | #2 | 227.00W, 3.20A, 10.21V | 2019-11-01 13:41:54.758426
On | 19s | Off | #2 | 228.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.770424
On | 20s | Off | #2 | 229.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.782419
On | 21s | Off | #2 | 230.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.798416
On | 22s | Off | #2 | 231.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.814415
On | 23s | Off | #2 | 232.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.826409
On | 24s | Off | #2 | 233.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.842408
On | 25s | Off | #2 | 234.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.850405
On | 26s | Off | #2 | 235.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.862399
On | 27s | Off | #2 | 236.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.874399
On | 28s | Off | #2 | 237.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.886411
On | 29s | Off | #2 | 238.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.894409
On | 30s | Off | #2 | 239.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.906393
On | 31s | Off | #2 | 240.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.914389
On | 32s | Off | #2 | 241.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.930383
On | 33s | Off | #2 | 242.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.942380
On | 34s | Off | #2 | 243.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.954376
On | 35s | Off | #2 | 244.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.962393
On | 36s | Off | #2 | 245.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.978370
On | 37s | Off | #2 | 246.00W, 1.60A, 5.10V | 2019-11-01 13:41:54.986372
On | 38s | Off | #2 | 247.00W, 3.20A, 10.20V | 2019-11-01 13:41:54.994385
On | 39s | Off | #2 | 248.00W, 1.60A, 5.10V | 2019-11-01 13:41:55.006364
On | 40s | Off | #2 | 249.00W, 3.20A, 10.20V | 2019-11-01 13:41:55.022360
Off | 0s | On | #1 | 250.00W, 4.80A, 15.30V | 2019-11-01 13:41:55.030357
Off | 1s | On | #1 | 251.00W, 2.40A, 7.65V | 2019-11-01 13:41:55.046353
Off | 2s | On | #1 | 252.00W, 4.00A, 12.75V | 2019-11-01 13:41:55.058350
Off | 3s | On | #1 | 253.00W, 2.00A, 6.38V | 2019-11-01 13:41:55.070347
Off | 4s | On | #1 | 254.00W, 3.60A, 11.48V | 2019-11-01 13:41:55.078345
Off | 5s | On | #1 | 255.00W, 1.80A, 5.74V | 2019-11-01 13:41:55.090344
Off | 6s | On | #1 | 256.00W, 3.40A, 10.84V | 2019-11-01 13:41:55.098339
Off | 7s | On | #1 | 257.00W, 1.70A, 5.42V | 2019-11-01 13:41:55.110340
Off | 8s | On | #1 | 258.00W, 3.30A, 10.52V | 2019-11-01 13:41:55.122352
Off | 9s | On | #1 | 259.00W, 1.65A, 5.26V | 2019-11-01 13:41:55.134332
Off | 10s | On | #1 | 260.00W, 3.25A, 10.36V | 2019-11-01 13:41:55.146327
Off | 11s | On | #1 | 261.00W, 1.63A, 5.18V | 2019-11-01 13:41:55.158344
Off | 12s | On | #1 | 262.00W, 3.23A, 10.28V | 2019-11-01 13:41:55.166322
Off | 13s | On | #1 | 263.00W, 1.61A, 5.14V | 2019-11-01 13:41:55.178323
Off | 14s | On | #1 | 264.00W, 3.21A, 10.24V | 2019-11-01 13:41:55.190337
Off | 15s | On | #1 | 265.00W, 1.61A, 5.12V | 2019-11-01 13:41:55.198314
Off | 16s | On | #1 | 266.00W, 3.21A, 10.22V | 2019-11-01 13:41:55.210311
Off | 17s | On | #1 | 267.00W, 1.60A, 5.11V | 2019-11-01 13:41:55.226311
Off | 18s | On | #1 | 268.00W, 3.20A, 10.21V | 2019-11-01 13:41:55.234305
Off | 19s | On | #1 | 269.00W, 1.60A, 5.10V | 2019-11-01 13:41:55.246303
Off | 20s | On | #1 | 270.00W, 3.20A, 10.20V | 2019-11-01 13:41:55.254302
Off | 0s | On | #2 | 271.00W, 4.80A, 15.30V | 2019-11-01 13:41:55.266299
Off | 1s | On | #2 | 272.00W, 2.40A, 7.65V | 2019-11-01 13:41:55.274295
Off | 2s | On | #2 | 273.00W, 4.00A, 12.75V | 2019-11-01 13:41:55.294292
Off | 3s | On | #2 | 274.00W, 2.00A, 6.38V | 2019-11-01 13:41:55.306290
Off | 4s | On | #2 | 275.00W, 3.60A, 11.48V | 2019-11-01 13:41:55.322289
Off | 5s | On | #2 | 276.00W, 1.80A, 5.74V | 2019-11-01 13:41:55.334281
Off | 6s | On | #2 | 277.00W, 3.40A, 10.84V | 2019-11-01 13:41:55.346295
Off | 7s | On | #2 | 278.00W, 1.70A, 5.42V | 2019-11-01 13:41:55.354278
Off | 8s | On | #2 | 279.00W, 3.30A, 10.52V | 2019-11-01 13:41:55.366273
Off | 9s | On | #2 | 280.00W, 1.65A, 5.26V | 2019-11-01 13:41:55.378289
Off | 10s | On | #2 | 281.00W, 3.25A, 10.36V | 2019-11-01 13:41:55.390286
Off | 11s | On | #2 | 282.00W, 1.63A, 5.18V | 2019-11-01 13:41:55.398264
Off | 12s | On | #2 | 283.00W, 3.23A, 10.28V | 2019-11-01 13:41:55.414264
Off | 13s | On | #2 | 284.00W, 1.61A, 5.14V | 2019-11-01 13:41:55.426257
Off | 14s | On | #2 | 285.00W, 3.21A, 10.24V | 2019-11-01 13:41:55.442253
Off | 15s | On | #2 | 286.00W, 1.61A, 5.12V | 2019-11-01 13:41:55.450252
Off | 16s | On | #2 | 287.00W, 3.21A, 10.22V | 2019-11-01 13:41:55.482248
Off | 17s | On | #2 | 288.00W, 1.60A, 5.11V | 2019-11-01 13:41:55.498240
Off | 18s | On | #2 | 289.00W, 3.20A, 10.21V | 2019-11-01 13:41:55.538230
Off | 19s | On | #2 | 290.00W, 1.60A, 5.10V | 2019-11-01 13:41:55.558224
Off | 20s | On | #2 | 291.00W, 3.20A, 10.20V | 2019-11-01 13:41:55.578220
Off | 0s | Off | #1 | 292.00W, 4.80A, 15.30V | 2019-11-01 13:41:55.598214
