Data Format:
GPS ON/OFF | Current Time (Seconds) | Screen On/Off | Trial # | Power Statistics for current time | TimeStamp
On | 11s | Off | #2 | 76.00W, 1.63A, 5.18V | 2019-11-01 13:51:13.175370
On | 12s | Off | #2 | 77.00W, 3.23A, 10.28V | 2019-11-01 13:51:13.207360
On | 13s | Off | #2 | 78.00W, 1.61A, 5.14V | 2019-11-01 13:51:13.231359
On | 14s | Off | #2 | 79.00W, 3.21A, 10.24V | 2019-11-01 13:51:13.275343
On | 15s | Off | #2 | 80.00W, 1.61A, 5.12V | 2019-11-01 13:51:13.319331
On | 16s | Off | #2 | 81.00W, 3.21A, 10.22V | 2019-11-01 13:51:13.351325
On | 17s | Off | #2 | 82.00W, 1.60A, 5.11V | 2019-11-01 13:51:13.379317
On | 18s | Off | #2 | 83.00W, 3.20A, 10.21V | 2019-11-01 13:51:13.407310
On | 19s | Off | #2 | 84.00W, 1.60A, 5.10V | 2019-11-01 13:51:13.427304
On | 20s | Off | #2 | 85.00W, 3.20A, 10.20V | 2019-11-01 13:51:13.455299
On | 0s | On | #1 | 86.00W, 4.80A, 15.30V | 2019-11-01 13:51:13.475293
On | 1s | On | #1 | 87.00W, 2.40A, 7.65V | 2019-11-01 13:51:13.503286
On | 2s | On | #1 | 88.00W, 4.00A, 12.75V | 2019-11-01 13:51:13.523281
On | 3s | On | #1 | 89.00W, 2.00A, 6.38V | 2019-11-01 13:51:13.547276
On | 4s | On | #1 | 90.00W, 3.60A, 11.48V | 2019-11-01 13:51:13.559270
On | 5s | On | #1 | 91.00W, 1.80A, 5.74V | 2019-11-01 13:51:13.579267
On | 6s | On | #1 | 92.00W, 3.40A, 10.84V | 2019-11-01 13:51:13.603261
On | 7s | On | #1 | 93.00W, 1.70A, 5.42V | 2019-11-01 13:51:13.635252
On | 8s | On | #1 | 94.00W, 3.30A, 10.52V | 2019-11-01 13:51:13.655247
On | 9s | On | #1 | 95.00W, 1.65A, 5.26V | 2019-11-01 13:51:13.679242
On | 10s | On | #1 | 96.00W, 3.25A, 10.36V | 2019-11-01 13:51:13.699235
On | 11s | On | #1 | 97.00W, 1.63A, 5.18V | 2019-11-01 13:51:13.727230
On | 12s | On | #1 | 98.00W, 3.23A, 10.28V | 2019-11-01 13:51:13.747223
On | 13s | On | #1 | 99.00W, 1.61A, 5.14V | 2019-11-01 13:51:13.775220
On | 14s | On | #1 | 100.00W, 3.21A, 10.24V | 2019-11-01 13:51:13.795212
On | 15s | On | #1 | 101.00W, 1.61A, 5.12V | 2019-11-01 13:51:13.819208
On | 16s | On | #1 | 102.00W, 3.21A, 10.22V | 2019-11-01 13:51:13.839201
On | 17s | On | #1 | 103.00W, 1.60A, 5.11V | 2019-11-01 13:51:13.867193
On | 18s | On | #1 | 104.00W, 3.20A, 10.21V | 2019-11-01 13:51:13.883190
On | 19s | On | #1 | 105.00W, 1.60A, 5.10V | 2019-11-01 13:51:13.907186
On | 20s | On | #1 | 106.00W, 3.20A, 10.20V | 2019-11-01 13:51:13.927179
On | 21s | On | #1 | 107.00W, 1.60A, 5.10V | 2019-11-01 13:51:13.947175
On | 22s | On | #1 | 108.00W, 3.20A, 10.20V | 2019-11-01 13:51:13.959172
On | 23s | On | #1 | 109.00W, 1.60A, 5.10V | 2019-11-01 13:51:13.975168
On | 24s | On | #1 | 110.00W, 3.20A, 10.20V | 2019-11-01 13:51:13.991162
On | 25s | On | #1 | 111.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.011157
On | 26s | On | #1 | 112.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.031151
On | 27s | On | #1 | 113.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.051148
On | 28s | On | #1 | 114.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.059144
On | 29s | On | #1 | 115.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.083140
On | 30s | On | #1 | 116.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.095136
On | 31s | On | #1 | 117.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.115131
On | 32s | On | #1 | 118.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.131128
On | 33s | On | #1 | 119.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.147126
On | 34s | On | #1 | 120.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.159123
On | 35s | On | #1 | 121.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.175116
On | 36s | On | #1 | 122.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.187117
On | 37s | On | #1 | 123.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.203108
On | 38s | On | #1 | 124.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.223107
On | 39s | On | #1 | 125.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.247097
On | 40s | On | #1 | 126.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.263094
On | 0s | On | #2 | 127.00W, 4.80A, 15.30V | 2019-11-01 13:51:14.287088
On | 1s | On | #2 | 128.00W, 2.40A, 7.65V | 2019-11-01 13:51:14.315083
On | 2s | On | #2 | 129.00W, 4.00A, 12.75V | 2019-11-01 13:51:14.335079
On | 3s | On | #2 | 130.00W, 2.00A, 6.38V | 2019-11-01 13:51:14.371066
On | 4s | On | #2 | 131.00W, 3.60A, 11.48V | 2019-11-01 13:51:14.399059
On | 5s | On | #2 | 132.00W, 1.80A, 5.74V | 2019-11-01 13:51:14.415055
On | 6s | On | #2 | 133.00W, 3.40A, 10.84V | 2019-11-01 13:51:14.435054
On | 7s | On | #2 | 134.00W, 1.70A, 5.42V | 2019-11-01 13:51:14.447047
On | 8s | On | #2 | 135.00W, 3.30A, 10.52V | 2019-11-01 13:51:14.463043
On | 9s | On | #2 | 136.00W, 1.65A, 5.26V | 2019-11-01 13:51:14.479041
On | 10s | On | #2 | 137.00W, 3.25A, 10.36V | 2019-11-01 13:51:14.499038
On | 11s | On | #2 | 138.00W, 1.63A, 5.18V | 2019-11-01 13:51:14.515033
On | 12s | On | #2 | 139.00W, 3.23A, 10.28V | 2019-11-01 13:51:14.531030
On | 13s | On | #2 | 140.00W, 1.61A, 5.14V | 2019-11-01 13:51:14.547023
On | 14s | On | #2 | 141.00W, 3.21A, 10.24V | 2019-11-01 13:51:14.567016
On | 15s | On | #2 | 142.00W, 1.61A, 5.12V | 2019-11-01 13:51:14.579013
On | 16s | On | #2 | 143.00W, 3.21A, 10.22V | 2019-11-01 13:51:14.603012
On | 17s | On | #2 | 144.00W, 1.60A, 5.11V | 2019-11-01 13:51:14.619007
On | 18s | On | #2 | 145.00W, 3.20A, 10.21V | 2019-11-01 13:51:14.635000
On | 19s | On | #2 | 146.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.650999
On | 20s | On | #2 | 147.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.674990
On | 21s | On | #2 | 148.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.690985
On | 22s | On | #2 | 149.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.706984
On | 23s | On | #2 | 150.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.722978
On | 24s | On | #2 | 151.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.738975
On | 25s | On | #2 | 152.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.746971
On | 26s | On | #2 | 153.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.762967
On | 27s | On | #2 | 154.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.770964
On | 28s | On | #2 | 155.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.782961
On | 29s | On | #2 | 156.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.794959
On | 30s | On | #2 | 157.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.810956
On | 31s | On | #2 | 158.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.826952
On | 32s | On | #2 | 159.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.850946
On | 33s | On | #2 | 160.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.862944
On | 34s | On | #2 | 161.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.878939
On | 35s | On | #2 | 162.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.894935
On | 36s | On | #2 | 163.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.914934
On | 37s | On | #2 | 164.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.926926
On | 38s | On | #2 | 165.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.942922
On | 39s | On | #2 | 166.00W, 1.60A, 5.10V | 2019-11-01 13:51:14.950920
On | 40s | On | #2 | 167.00W, 3.20A, 10.20V | 2019-11-01 13:51:14.962916
On | 0s | Off | #1 | 168.00W, 4.80A, 15.30V | 2019-11-01 13:51:14.974913
On | 1s | Off | #1 | 169.00W, 2.40A, 7.65V | 2019-11-01 13:51:14.986928
On | 2s | Off | #1 | 170.00W, 4.00A, 12.75V | 2019-11-01 13:51:14.998910
On | 3s | Off | #1 | 171.00W, 2.00A, 6.38V | 2019-11-01 13:51:15.010923
On | 4s | Off | #1 | 172.00W, 3.60A, 11.48V | 2019-11-01 13:51:15.022919
On | 5s | Off | #1 | 173.00W, 1.80A, 5.74V | 2019-11-01 13:51:15.038897
On | 6s | Off | #1 | 174.00W, 3.40A, 10.84V | 2019-11-01 13:51:15.050898
On | 7s | Off | #1 | 175.00W, 1.70A, 5.42V | 2019-11-01 13:51:15.066890
On | 8s | Off | #1 | 176.00W, 3.30A, 10.52V | 2019-11-01 13:51:15.078887
On | 9s | Off | #1 | 177.00W, 1.65A, 5.26V | 2019-11-01 13:51:15.090884
On | 10s | Off | #1 | 178.00W, 3.25A, 10.36V | 2019-11-01 13:51:15.098900
On | 11s | Off | #1 | 179.00W, 1.63A, 5.18V | 2019-11-01 13:51:15.114881
On | 12s | Off | #1 | 180.00W, 3.23A, 10.28V | 2019-11-01 13:51:15.122895
On | 13s | Off | #1 | 181.00W, 1.61A, 5.14V | 2019-11-01 13:51:15.146873
On | 14s | Off | #1 | 182.00W, 3.21A, 10.24V | 2019-11-01 13:51:15.158867
On | 15s | Off | #1 | 183.00W, 1.61A, 5.12V | 2019-11-01 13:51:15.174881
On | 16s | Off | #1 | 184.00W, 3.21A, 10.22V | 2019-11-01 13:51:15.182861
On | 17s | Off | #1 | 185.00W, 1.60A, 5.11V | 2019-11-01 13:51:15.194857
On | 18s | Off | #1 | 186.00W, 3.20A, 10.21V | 2019-11-01 13:51:15.206859
On | 19s | Off | #1 | 187.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.218853
On | 20s | Off | #1 | 188.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.230849
On | 21s | Off | #1 | 189.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.246863
On | 22s | Off | #1 | 190.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.258842
On | 23s | Off | #1 | 191.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.270842
On | 24s | Off | #1 | 192.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.278855
On | 25s | Off | #1 | 193.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.302836
On | 26s | Off | #1 | 194.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.318828
On | 27s | Off | #1 | 195.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.334823
On | 28s | Off | #1 | 196.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.346821
On | 29s | Off | #1 | 197.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.366833
On | 30s | Off | #1 | 198.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.378815
On | 31s | Off | #1 | 199.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.390809
On | 32s | Off | #1 | 200.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.402805
On | 33s | Off | #1 | 201.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.414820
On | 34s | Off | #1 | 202.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.430799
On | 35s | Off | #1 | 203.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.442814
On | 36s | Off | #1 | 204.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.454811
On | 37s | Off | #1 | 205.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.466790
On | 38s | Off | #1 | 206.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.478805
On | 39s | Off | #1 | 207.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.490784
On | 40s | Off | #1 | 208.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.502780
On | 0s | Off | #2 | 209.00W, 4.80A, 15.30V | 2019-11-01 13:51:15.518777
On | 1s | Off | #2 | 210.00W, 2.40A, 7.65V | 2019-11-01 13:51:15.526774
On | 2s | Off | #2 | 211.00W, 4.00A, 12.75V | 2019-11-01 13:51:15.542775
On | 3s | Off | #2 | 212.00W, 2.00A, 6.38V | 2019-11-01 13:51:15.554768
On | 4s | Off | #2 | 213.00W, 3.60A, 11.48V | 2019-11-01 13:51:15.570764
On | 5s | Off | #2 | 214.00W, 1.80A, 5.74V | 2019-11-01 13:51:15.582761
On | 6s | Off | #2 | 215.00W, 3.40A, 10.84V | 2019-11-01 13:51:15.598756
On | 7s | Off | #2 | 216.00W, 1.70A, 5.42V | 2019-11-01 13:51:15.610754
On | 8s | Off | #2 | 217.00W, 3.30A, 10.52V | 2019-11-01 13:51:15.626752
On | 9s | Off | #2 | 218.00W, 1.65A, 5.26V | 2019-11-01 13:51:15.638746
On | 10s | Off | #2 | 219.00W, 3.25A, 10.36V | 2019-11-01 13:51:15.650750
On | 11s | Off | #2 | 220.00W, 1.63A, 5.18V | 2019-11-01 13:51:15.662740
On | 12s | Off | #2 | 221.00W, 3.23A, 10.28V | 2019-11-01 13:51:15.674737
On | 13s | Off | #2 | 222.00W, 1.61A, 5.14V | 2019-11-01 13:51:15.686735
On | 14s | Off | #2 | 223.00W, 3.21A, 10.24V | 2019-11-01 13:51:15.702731
On | 15s | Off | #2 | 224.00W, 1.61A, 5.12V | 2019-11-01 13:51:15.714728
On | 16s | Off | #2 | 225.00W, 3.21A, 10.22V | 2019-11-01 13:51:15.730726
On | 17s | Off | #2 | 226.00W, 1.60A, 5.11V | 2019-11-01 13:51:15.746720
On | 18s | Off | #2 | 227.00W, 3.20A, 10.21V | 2019-11-01 13:51:15.758720
On | 19s | Off | #2 | 228.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.774712
On | 20s | Off | #2 | 229.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.786727
On | 21s | Off | #2 | 230.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.798709
On | 22s | Off | #2 | 231.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.810721
On | 23s | Off | #2 | 232.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.822705
On | 24s | Off | #2 | 233.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.838696
On | 25s | Off | #2 | 234.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.850693
On | 26s | Off | #2 | 235.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.866690
On | 27s | Off | #2 | 236.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.882688
On | 28s | Off | #2 | 237.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.906679
On | 29s | Off | #2 | 238.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.922678
On | 30s | Off | #2 | 239.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.938675
On | 31s | Off | #2 | 240.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.950671
On | 32s | Off | #2 | 241.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.962684
On | 33s | Off | #2 | 242.00W, 1.60A, 5.10V | 2019-11-01 13:51:15.974661
On | 34s | Off | #2 | 243.00W, 3.20A, 10.20V | 2019-11-01 13:51:15.990658
On | 35s | Off | #2 | 244.00W, 1.60A, 5.10V | 2019-11-01 13:51:16.002672
On | 36s | Off | #2 | 245.00W, 3.20A, 10.20V | 2019-11-01 13:51:16.018654
On | 37s | Off | #2 | 246.00W, 1.60A, 5.10V | 2019-11-01 13:51:16.026650
On | 38s | Off | #2 | 247.00W, 3.20A, 10.20V | 2019-11-01 13:51:16.042644
On | 39s | Off | #2 | 248.00W, 1.60A, 5.10V | 2019-11-01 13:51:16.054660
On | 40s | Off | #2 | 249.00W, 3.20A, 10.20V | 2019-11-01 13:51:16.066639
Off | 0s | On | #1 | 250.00W, 4.80A, 15.30V | 2019-11-01 13:51:16.082634
Off | 1s | On | #1 | 251.00W, 2.40A, 7.65V | 2019-11-01 13:51:16.098631
Off | 2s | On | #1 | 252.00W, 4.00A, 12.75V | 2019-11-01 13:51:16.106647
Off | 3s | On | #1 | 253.00W, 2.00A, 6.38V | 2019-11-01 13:51:16.122642
Off | 4s | On | #1 | 254.00W, 3.60A, 11.48V | 2019-11-01 13:51:16.134629
Off | 5s | On | #1 | 255.00W, 1.80A, 5.74V | 2019-11-01 13:51:16.146620
Off | 6s | On | #1 | 256.00W, 3.40A, 10.84V | 2019-11-01 13:51:16.158618
Off | 7s | On | #1 | 257.00W, 1.70A, 5.42V | 2019-11-01 13:51:16.170612
Off | 8s | On | #1 | 258.00W, 3.30A, 10.52V | 2019-11-01 13:51:16.182610
Off | 9s | On | #1 | 259.00W, 1.65A, 5.26V | 2019-11-01 13:51:16.194625
Off | 10s | On | #1 | 260.00W, 3.25A, 10.36V | 2019-11-01 13:51:16.206621
Off | 11s | On | #1 | 261.00W, 1.63A, 5.18V | 2019-11-01 13:51:16.218619
Off | 12s | On | #1 | 262.00W, 3.23A, 10.28V | 2019-11-01 13:51:16.226616
Off | 13s | On | #1 | 263.00W, 1.61A, 5.14V | 2019-11-01 13:51:16.246599
Off | 14s | On | #1 | 264.00W, 3.21A, 10.24V | 2019-11-01 13:51:16.254591
Off | 15s | On | #1 | 265.00W, 1.61A, 5.12V | 2019-11-01 13:51:16.270587
Off | 16s | On | #1 | 266.00W, 3.21A, 10.22V | 2019-11-01 13:51:16.278588
Off | 17s | On | #1 | 267.00W, 1.60A, 5.11V | 2019-11-01 13:51:16.298581
Off | 18s | On | #1 | 268.00W, 3.20A, 10.21V | 2019-11-01 13:51:16.310580
Off | 19s | On | #1 | 269.00W, 1.60A, 5.10V | 2019-11-01 13:51:16.322573
Off | 20s | On | #1 | 270.00W, 3.20A, 10.20V | 2019-11-01 13:51:16.338570
Off | 0s | On | #2 | 271.00W, 4.80A, 15.30V | 2019-11-01 13:51:16.354565
Off | 1s | On | #2 | 272.00W, 2.40A, 7.65V | 2019-11-01 13:51:16.366565
Off | 2s | On | #2 | 273.00W, 4.00A, 12.75V | 2019-11-01 13:51:16.378561
Off | 3s | On | #2 | 274.00W, 2.00A, 6.38V | 2019-11-01 13:51:16.386575
Off | 4s | On | #2 | 275.00W, 3.60A, 11.48V | 2019-11-01 13:51:16.398560
Off | 5s | On | #2 | 276.00W, 1.80A, 5.74V | 2019-11-01 13:51:16.410552
Off | 6s | On | #2 | 277.00W, 3.40A, 10.84V | 2019-11-01 13:51:16.422548
Off | 7s | On | #2 | 278.00W, 1.70A, 5.42V | 2019-11-01 13:51:16.434545
Off | 8s | On | #2 | 279.00W, 3.30A, 10.52V | 2019-11-01 13:51:16.450560
Off | 9s | On | #2 | 280.00W, 1.65A, 5.26V | 2019-11-01 13:51:16.458558
Off | 10s | On | #2 | 281.00W, 3.25A, 10.36V | 2019-11-01 13:51:16.470541
Off | 11s | On | #2 | 282.00W, 1.63A, 5.18V | 2019-11-01 13:51:16.482533
Off | 12s | On | #2 | 283.00W, 3.23A, 10.28V | 2019-11-01 13:51:16.494530
Off | 13s | On | #2 | 284.00W, 1.61A, 5.14V | 2019-11-01 13:51:16.502529
Off | 14s | On | #2 | 285.00W, 3.21A, 10.24V | 2019-11-01 13:51:16.514529
Off | 15s | On | #2 | 286.00W, 1.61A, 5.12V | 2019-11-01 13:51:16.522523
Off | 16s | On | #2 | 287.00W, 3.21A, 10.22V | 2019-11-01 13:51:16.538524
Off | 17s | On | #2 | 288.00W, 1.60A, 5.11V | 2019-11-01 13:51:16.550516
Off | 18s | On | #2 | 289.00W, 3.20A, 10.21V | 2019-11-01 13:51:16.562514
Off | 19s | On | #2 | 290.00W, 1.60A, 5.10V | 2019-11-01 13:51:16.570512
Off | 20s | On | #2 | 291.00W, 3.20A, 10.20V | 2019-11-01 13:51:16.582508
Off | 0s | Off | #1 | 292.00W, 4.80A, 15.30V | 2019-11-01 13:51:16.590524
